# Chl-a and CDOM for the 3320 IOP combinations of the Loisel et al.
# (2023, ESSD 15, 3711-3731) synthetic database, expressed in the
# units of Dutkiewicz et al. (2018) Fig. 10a:
#   Chl (mg m-3)       = aph(440) / 0.05582  (Bricaud et al. 1998)
#   CDOM (mmol C m-3)  = ag(450) / 0.18  (Dutkiewicz et al. 2015 ccdom)
# Written by robust/dutkiewicz2018_fig10.py.
index,aph440,ag440,ag450,Chl,CDOM
106,0.006615,0.016576,0.014015,0.118506,0.0778611
107,0.007579,0.008365,0.007527,0.135776,0.0418167
108,0.007946,0.011551,0.010417,0.14235,0.0578722
109,0.002347,0.000906,0.000754,0.0420459,0.00418889
110,0.017454,0.031747,0.026761,0.312684,0.148672
111,0.00628,0.002561,0.002252,0.112504,0.0125111
112,0.007946,0.00374,0.003358,0.14235,0.0186556
113,0.005629,0.019094,0.015789,0.100842,0.0877167
114,0.007579,0.008705,0.007238,0.135776,0.0402111
115,0.006845,0.001858,0.001616,0.122626,0.00897778
116,0.005903,0.001651,0.001469,0.105751,0.00816111
117,0.007586,0.001757,0.001523,0.135901,0.00846111
118,0.005753,0.003835,0.003329,0.103063,0.0184944
119,0.006734,0.03234,0.027206,0.120638,0.151144
120,0.00748,0.001584,0.001376,0.134002,0.00764444
121,0.020004,0.010115,0.008457,0.358366,0.0469833
122,0.007579,0.006265,0.005154,0.135776,0.0286333
123,0.007946,0.022201,0.018337,0.14235,0.101872
124,0.007381,0.010923,0.008987,0.132229,0.0499278
125,0.008512,0.028267,0.024708,0.15249,0.137267
126,0.006311,0.001471,0.001293,0.11306,0.00718333
127,0.008255,0.005771,0.004778,0.147886,0.0265444
128,0.005921,0.002941,0.002606,0.106073,0.0144778
129,0.006615,0.003543,0.003164,0.118506,0.0175778
130,0.00847,0.015144,0.013008,0.151738,0.0722667
131,0.008603,0.004176,0.003452,0.15412,0.0191778
132,0.024167,0.016819,0.014172,0.432945,0.0787333
133,0.007466,0.006844,0.005948,0.133751,0.0330444
134,0.00749,0.012936,0.011455,0.134181,0.0636389
135,0.005818,0.006639,0.00596,0.104228,0.0331111
136,0.006734,0.01375,0.011333,0.120638,0.0629611
137,0.006829,0.003406,0.002901,0.12234,0.0161167
138,0.005907,0.008799,0.007667,0.105822,0.0425944
139,0.006951,0.00187,0.001583,0.124525,0.00879444
140,0.007381,0.007952,0.006647,0.132229,0.0369278
141,0.00628,0.006536,0.00572,0.112504,0.0317778
142,0.00748,0.004269,0.003604,0.134002,0.0200222
143,0.011437,0.009691,0.008364,0.204891,0.0464667
144,0.008219,0.009238,0.00819,0.147241,0.0455
145,0.005629,0.000875,0.000719,0.100842,0.00399444
146,0.005907,0.016556,0.013951,0.105822,0.0775056
147,0.00816,0.003154,0.002807,0.146184,0.0155944
148,0.008898,0.008686,0.007519,0.159405,0.0417722
149,0.007377,0.008499,0.007219,0.132157,0.0401056
150,0.006845,0.001701,0.001403,0.122626,0.00779444
151,0.00847,0.004477,0.003842,0.151738,0.0213444
152,0.005851,0.001485,0.001262,0.104819,0.00701111
153,0.006836,0.008973,0.007585,0.122465,0.0421389
154,0.011046,0.008029,0.006768,0.197886,0.0376
155,0.007805,0.006145,0.00507,0.139824,0.0281667
156,0.008045,0.013787,0.012286,0.144124,0.0682556
157,0.006042,0.002398,0.002083,0.108241,0.0115722
158,0.006314,0.009132,0.008009,0.113114,0.0444944
159,0.005924,0.005566,0.004698,0.106127,0.0261
160,0.00628,0.004408,0.003648,0.112504,0.0202667
161,0.006314,0.010657,0.009181,0.113114,0.0510056
162,0.005829,0.001614,0.001348,0.104425,0.00748889
163,0.006895,0.003596,0.003149,0.123522,0.0174944
164,0.005629,0.003397,0.002909,0.100842,0.0161611
165,0.011636,0.002424,0.001993,0.208456,0.0110722
166,0.007215,0.002955,0.002572,0.129255,0.0142889
167,0.00683,0.003716,0.003074,0.122358,0.0170778
168,0.006615,0.024576,0.020784,0.118506,0.115467
169,0.006198,0.007159,0.005963,0.111035,0.0331278
170,0.007291,0.006634,0.005937,0.130616,0.0329833
171,0.005629,0.005139,0.004522,0.100842,0.0251222
172,0.00698,0.004445,0.003725,0.125045,0.0206944
173,0.007721,0.006219,0.005507,0.13832,0.0305944
174,0.005907,0.007509,0.006771,0.105822,0.0376167
175,0.006829,0.004782,0.004143,0.12234,0.0230167
176,0.009389,0.005465,0.004701,0.168201,0.0261167
177,0.006845,0.001886,0.001554,0.122626,0.00863333
178,0.006335,0.007625,0.006721,0.11349,0.0373389
179,0.006052,0.00174,0.001487,0.10842,0.00826111
180,0.005829,0.00553,0.004827,0.104425,0.0268167
181,0.006116,0.007922,0.007149,0.109566,0.0397167
182,0.007721,0.004155,0.003576,0.13832,0.0198667
183,0.008898,0.008937,0.007445,0.159405,0.0413611
184,0.005851,0.01539,0.01357,0.104819,0.0753889
185,0.006052,0.005145,0.004634,0.10842,0.0257444
186,0.006216,0.004458,0.003936,0.111358,0.0218667
187,0.016835,0.018036,0.015829,0.301594,0.0879389
188,0.00698,0.012557,0.010636,0.125045,0.0590889
189,0.007617,0.003764,0.003296,0.136456,0.0183111
190,0.007865,0.018453,0.015631,0.140899,0.0868389
191,0.006615,0.018963,0.017136,0.118506,0.0952
192,0.006587,0.005939,0.005001,0.118004,0.0277833
193,0.006052,0.00725,0.006308,0.10842,0.0350444
194,0.005629,0.00225,0.002029,0.100842,0.0112722
195,0.006845,0.004957,0.004306,0.122626,0.0239222
196,0.006693,0.017147,0.014443,0.119903,0.0802389
197,0.007191,0.006717,0.005543,0.128825,0.0307944
198,0.022021,0.051247,0.042849,0.3945,0.23805
199,0.00653,0.004569,0.003747,0.116983,0.0208167
200,0.007349,0.020118,0.016499,0.131655,0.0916611
201,0.006314,0.00366,0.003028,0.113114,0.0168222
202,0.006829,0.00502,0.004166,0.12234,0.0231444
203,0.008512,0.006141,0.005129,0.15249,0.0284944
204,0.006314,0.014172,0.012131,0.113114,0.0673944
205,0.007805,0.009513,0.008255,0.139824,0.0458611
206,0.007235,0.004069,0.003635,0.129613,0.0201944
207,0.00628,0.008222,0.006968,0.112504,0.0387111
208,0.007585,0.004029,0.003344,0.135883,0.0185778
209,0.023729,0.023521,0.020786,0.425099,0.115478
210,0.007559,0.020653,0.018181,0.135417,0.101006
211,0.005903,0.00099,0.000824,0.105751,0.00457778
212,0.006845,0.007014,0.006301,0.122626,0.0350056
213,0.006941,0.011432,0.00996,0.124346,0.0553333
214,0.007638,0.005859,0.005161,0.136833,0.0286722
