# Joint PDF of model "actual" Chl-a vs CDOM, digitized from Fig. 10a of
# Dutkiewicz et al. (2018), Biogeosciences 15, 613-630,
# doi:10.5194/bg-15-613-2018, by robust/dutkiewicz2018_fig10.py.
# Bin centres on a regular log10 grid (40 bins per decade).
# count    : mean per-native-bin sample count from the colorbar (relative density)
# fraction : count normalized to sum to 1 over all listed bins
# CDOM in mmol C m-3; Chl in mg m-3.
log10_CDOM,log10_Chl,CDOM,Chl,count,fraction
-2.1625,-1.9125,0.0068786,0.0122321,614.138,1.727366e-04
-2.1625,-1.8875,0.0068786,0.0129569,641.928,1.805531e-04
-2.1625,-1.8625,0.0068786,0.0137246,659.613,1.855272e-04
-2.1625,-1.8375,0.0068786,0.0145378,508.432,1.430051e-04
-2.1625,-1.8125,0.0068786,0.0153993,421.474,1.185465e-04
-2.1625,-1.7875,0.0068786,0.0163117,323.908,9.110464e-05
-2.1625,-1.7625,0.0068786,0.0172783,202.014,5.681967e-05
-2.1625,-1.7375,0.0068786,0.0183021,92.4158,2.599347e-05
-2.1625,-1.7125,0.0068786,0.0193865,15.7982,4.443494e-06
-2.1625,-1.6875,0.0068786,0.0205353,2.34747,6.602651e-07
-2.1625,-1.6625,0.0068786,0.021752,0.0925274,2.602489e-08
-2.1375,-1.9875,0.00728618,0.010292,1399.14,3.935316e-04
-2.1375,-1.9625,0.00728618,0.0109018,635.733,1.788104e-04
-2.1375,-1.9375,0.00728618,0.0115478,622.797,1.751720e-04
-2.1375,-1.9125,0.00728618,0.0122321,632.544,1.779136e-04
-2.1375,-1.8875,0.00728618,0.0129569,641.928,1.805531e-04
-2.1375,-1.8625,0.00728618,0.0137246,675.201,1.899116e-04
-2.1375,-1.8375,0.00728618,0.0145378,669.29,1.882488e-04
-2.1375,-1.8125,0.00728618,0.0153993,542.199,1.525025e-04
-2.1375,-1.7875,0.00728618,0.0163117,422.173,1.187433e-04
-2.1375,-1.7625,0.00728618,0.0172783,325.804,9.163779e-05
-2.1375,-1.7375,0.00728618,0.0183021,246.408,6.930624e-05
-2.1375,-1.7125,0.00728618,0.0193865,112.218,3.156309e-05
-2.1375,-1.6875,0.00728618,0.0205353,20.074,5.646156e-06
-2.1375,-1.6625,0.00728618,0.021752,2.63896,7.422528e-07
-2.1125,-1.9875,0.00771792,0.010292,1588.5,4.467913e-04
-2.1125,-1.9625,0.00771792,0.0109018,666.302,1.874086e-04
-2.1125,-1.9375,0.00771792,0.0115478,665.226,1.871059e-04
-2.1125,-1.9125,0.00771792,0.0122321,712.705,2.004602e-04
-2.1125,-1.8875,0.00771792,0.0129569,666.11,1.873545e-04
-2.1125,-1.8625,0.00771792,0.0137246,685.745,1.928773e-04
-2.1125,-1.8375,0.00771792,0.0145378,766.404,2.155638e-04
-2.1125,-1.8125,0.00771792,0.0153993,684.6,1.925553e-04
-2.1125,-1.7875,0.00771792,0.0163117,520.413,1.463748e-04
-2.1125,-1.7625,0.00771792,0.0172783,408.325,1.148481e-04
-2.1125,-1.7375,0.00771792,0.0183021,332.918,9.363885e-05
-2.1125,-1.7125,0.00771792,0.0193865,223.394,6.283340e-05
-2.1125,-1.6875,0.00771792,0.0205353,101.361,2.850960e-05
-2.1125,-1.6625,0.00771792,0.021752,20.6697,5.813708e-06
-2.1125,-1.6375,0.00771792,0.0230409,3.34432,9.406449e-07
-2.1125,-1.6125,0.00771792,0.0244062,0.886824,2.494340e-07
-2.1125,-1.5875,0.00771792,0.0258523,0.194009,5.456831e-08
-2.0875,-1.9875,0.00817523,0.010292,1067.21,3.001708e-04
-2.0875,-1.9625,0.00817523,0.0109018,850.385,2.391851e-04
-2.0875,-1.9375,0.00817523,0.0115478,782.522,2.200972e-04
-2.0875,-1.9125,0.00817523,0.0122321,781.714,2.198702e-04
-2.0875,-1.8875,0.00817523,0.0129569,781.714,2.198702e-04
-2.0875,-1.8625,0.00817523,0.0137246,781.714,2.198702e-04
-2.0875,-1.8375,0.00817523,0.0145378,781.714,2.198702e-04
-2.0875,-1.8125,0.00817523,0.0153993,767.066,2.157502e-04
-2.0875,-1.7875,0.00817523,0.0163117,778.052,2.188402e-04
-2.0875,-1.7625,0.00817523,0.0172783,541.32,1.522553e-04
-2.0875,-1.7375,0.00817523,0.0183021,437.691,1.231079e-04
-2.0875,-1.7125,0.00817523,0.0193865,332.962,9.365113e-05
-2.0875,-1.6875,0.00817523,0.0205353,255.125,7.175813e-05
-2.0875,-1.6625,0.00817523,0.021752,106.702,3.001171e-05
-2.0875,-1.6375,0.00817523,0.0230409,31.5874,8.884484e-06
-2.0875,-1.6125,0.00817523,0.0244062,3.38044,9.508059e-07
-2.0875,-1.5875,0.00817523,0.0258523,0.353268,9.936241e-08
-2.0625,-1.9875,0.00865964,0.010292,396.095,1.114084e-04
-2.0625,-1.9625,0.00865964,0.0109018,482.552,1.357257e-04
-2.0625,-1.9375,0.00865964,0.0115478,809.496,2.276842e-04
-2.0625,-1.9125,0.00865964,0.0122321,799.401,2.248447e-04
-2.0625,-1.8875,0.00865964,0.0129569,824.719,2.319660e-04
-2.0625,-1.8625,0.00865964,0.0137246,832.352,2.341128e-04
-2.0625,-1.8375,0.00865964,0.0145378,799.401,2.248447e-04
-2.0625,-1.8125,0.00865964,0.0153993,735.782,2.069509e-04
-2.0625,-1.7875,0.00865964,0.0163117,702.603,1.976187e-04
-2.0625,-1.7625,0.00865964,0.0172783,757.071,2.129389e-04
-2.0625,-1.7375,0.00865964,0.0183021,703.826,1.979628e-04
-2.0625,-1.7125,0.00865964,0.0193865,492.275,1.384606e-04
-2.0625,-1.6875,0.00865964,0.0205353,362.863,1.020613e-04
-2.0625,-1.6625,0.00865964,0.021752,233.947,6.580148e-05
-2.0625,-1.6375,0.00865964,0.0230409,147.48,4.148126e-05
-2.0625,-1.6125,0.00865964,0.0244062,35.5399,9.996178e-06
-2.0625,-1.5875,0.00865964,0.0258523,6.62722,1.864016e-06
-2.0625,-1.5625,0.00865964,0.0273842,0.328052,9.227005e-08
-2.0375,-1.9875,0.00917276,0.010292,74.2655,2.088841e-05
-2.0375,-1.9625,0.00917276,0.0109018,139.419,3.921379e-05
-2.0375,-1.9375,0.00917276,0.0115478,612.747,1.723453e-04
-2.0375,-1.9125,0.00917276,0.0122321,809.496,2.276842e-04
-2.0375,-1.8875,0.00917276,0.0129569,917.335,2.580157e-04
-2.0375,-1.8625,0.00917276,0.0137246,946.597,2.662461e-04
-2.0375,-1.8375,0.00917276,0.0145378,903.786,2.542050e-04
-2.0375,-1.8125,0.00917276,0.0153993,832.352,2.341128e-04
-2.0375,-1.7875,0.00917276,0.0163117,713.022,2.005494e-04
-2.0375,-1.7625,0.00917276,0.0172783,783.791,2.204543e-04
-2.0375,-1.7375,0.00917276,0.0183021,828.335,2.329831e-04
-2.0375,-1.7125,0.00917276,0.0193865,680.534,1.914114e-04
-2.0375,-1.6875,0.00917276,0.0205353,477.673,1.343535e-04
-2.0375,-1.6625,0.00917276,0.021752,321.648,9.046897e-05
-2.0375,-1.6375,0.00917276,0.0230409,247.124,6.950786e-05
-2.0375,-1.6125,0.00917276,0.0244062,119.049,3.348460e-05
-2.0375,-1.5875,0.00917276,0.0258523,42.4748,1.194674e-05
-2.0375,-1.5625,0.00917276,0.0273842,2.23361,6.282391e-07
-2.0125,-1.9875,0.00971628,0.010292,6.57933,1.850547e-06
-2.0125,-1.9625,0.00971628,0.0109018,23.043,6.481221e-06
-2.0125,-1.9375,0.00971628,0.0115478,124.576,3.503913e-05
-2.0125,-1.9125,0.00971628,0.0122321,426.032,1.198286e-04
-2.0125,-1.8875,0.00971628,0.0129569,874.63,2.460043e-04
-2.0125,-1.8625,0.00971628,0.0137246,963.131,2.708967e-04
-2.0125,-1.8375,0.00971628,0.0145378,1043.38,2.934688e-04
-2.0125,-1.8125,0.00971628,0.0153993,1097.33,3.086413e-04
-2.0125,-1.7875,0.00971628,0.0163117,920.447,2.588910e-04
-2.0125,-1.7625,0.00971628,0.0172783,804.764,2.263534e-04
-2.0125,-1.7375,0.00971628,0.0183021,787.414,2.214733e-04
-2.0125,-1.7125,0.00971628,0.0193865,828.804,2.331151e-04
-2.0125,-1.6875,0.00971628,0.0205353,726.585,2.043641e-04
-2.0125,-1.6625,0.00971628,0.021752,584.528,1.644081e-04
-2.0125,-1.6375,0.00971628,0.0230409,452.144,1.271731e-04
-2.0125,-1.6125,0.00971628,0.0244062,309.087,8.693597e-05
-2.0125,-1.5875,0.00971628,0.0258523,179.573,5.050798e-05
-2.0125,-1.5625,0.00971628,0.0273842,46.0322,1.294733e-05
-2.0125,-1.5375,0.00971628,0.0290068,12.0692,3.394654e-06
-2.0125,-1.5125,0.00971628,0.0307256,0.985765,2.772630e-07
-2.0125,-1.4875,0.00971628,0.0325462,0.0497249,1.398595e-08
-1.9875,-1.9875,0.010292,0.010292,1.60226,4.506629e-07
-1.9875,-1.9625,0.010292,0.0109018,1.69159,4.757869e-07
