# Colorbar of Dutkiewicz et al. (2018) Fig. 10, sampled top-to-bottom.
count,R,G,B
540.282,244,0,0
533.67,250,0,0
527.139,255,0,0
520.688,255,0,0
514.316,255,0,0
508.022,255,0,0
501.805,255,0,0
495.664,255,0,0
489.598,255,0,0
483.606,255,0,0
477.688,255,0,0
471.842,255,0,0
466.068,255,0,0
460.364,255,0,0
454.73,255,0,0
449.166,255,0,0
443.669,255,0,0
438.239,255,5,0
432.876,255,10,0
427.579,255,10,0
422.346,255,10,0
417.177,255,10,0
412.072,255,10,0
407.029,255,10,0
402.048,255,10,0
397.128,255,10,0
392.268,255,10,0
387.468,255,10,0
382.726,255,10,0
378.042,255,10,0
373.416,255,10,0
368.846,255,16,0
364.332,255,21,0
359.873,255,21,0
355.469,255,21,0
351.119,255,21,0
346.822,255,21,0
342.578,255,21,0
338.386,255,21,0
334.244,255,21,0
330.154,255,21,0
326.114,255,21,0
322.123,255,21,0
318.181,255,21,0
314.287,255,21,0
310.441,255,21,0
306.642,255,21,0
302.889,255,26,0
299.182,255,31,0
295.521,255,31,0
291.904,255,31,0
288.332,255,31,0
284.804,255,31,0
281.318,255,31,0
277.876,255,31,0
274.475,255,31,0
271.116,255,31,0
267.798,255,31,0
264.521,255,31,0
261.284,255,31,0
258.086,255,31,0
254.928,255,31,0
251.808,255,31,0
248.726,255,37,0
245.683,255,42,0
242.676,255,42,0
239.706,255,42,0
236.773,255,42,0
233.875,255,42,0
231.013,255,42,0
228.186,255,42,0
225.393,255,42,0
222.635,255,42,0
219.911,255,42,0
217.219,255,42,0
214.561,255,42,0
211.935,255,42,0
209.342,255,42,0
206.78,255,42,0
204.249,255,48,0
201.75,255,53,0
199.281,255,53,0
196.842,255,53,0
194.433,255,53,0
192.054,255,53,0
189.703,255,53,0
187.382,255,53,0
185.089,255,53,0
182.824,255,53,0
180.586,255,53,0
178.376,255,53,0
176.193,255,53,0
174.037,255,53,0
171.907,255,58,0
169.803,255,63,0
167.725,255,63,0
165.673,255,63,0
163.645,255,63,0
161.643,255,63,0
159.665,255,63,0
157.711,255,63,0
155.781,255,63,0
153.874,255,63,0
151.991,255,63,0
150.131,255,63,0
148.294,255,63,0
146.479,255,63,0
144.686,255,63,0
142.916,255,63,0
141.167,255,69,0
139.439,255,74,0
137.733,255,74,0
136.047,255,74,0
134.382,255,74,0
132.738,255,74,0
131.113,255,74,0
129.509,255,74,0
127.924,255,74,0
126.358,255,74,0
124.812,255,74,0
123.285,255,74,0
121.776,255,74,0
120.286,255,74,0
118.814,255,74,0
117.36,255,74,0
115.923,255,80,0
114.505,255,85,0
113.103,255,85,0
111.719,255,85,0
110.352,255,85,0
109.002,255,85,0
107.668,255,85,0
106.35,255,85,0
105.049,255,85,0
103.763,255,85,0
102.493,255,85,0
101.239,255,85,0
100,255,85,0
98.7762,255,85,0
97.5674,255,90,0
96.3734,255,95,0
95.194,255,95,0
94.029,255,95,0
92.8783,255,95,0
91.7417,255,95,0
90.619,255,95,0
89.51,255,95,0
88.4146,255,95,0
87.3326,255,95,0
86.2639,255,95,0
85.2082,255,95,0
84.1654,255,95,0
83.1354,255,95,0
82.118,255,95,0
81.1131,255,95,0
80.1204,255,101,0
79.1399,255,106,0
78.1714,255,106,0
77.2148,255,106,0
76.2699,255,106,0
75.3365,255,106,0
74.4145,255,106,0
73.5039,255,106,0
72.6043,255,106,0
71.7158,255,106,0
70.8382,255,106,0
69.9713,255,106,0
69.115,255,106,0
68.2692,255,106,0
67.4337,255,106,0
66.6085,255,106,0
65.7933,255,111,0
64.9882,255,116,0
64.1928,255,116,0
63.4073,255,116,0
62.6313,255,116,0
61.8648,255,116,0
61.1077,255,116,0
60.3599,255,116,0
59.6212,255,116,0
58.8916,255,116,0
58.1709,255,116,0
57.459,255,116,0
56.7559,255,116,0
56.0613,255,116,0
55.3752,255,116,0
54.6976,255,116,0
54.0282,255,122,0
53.367,255,127,0
52.7139,255,127,0
52.0688,255,127,0
51.4316,255,127,0
50.8022,255,127,0
50.1805,255,127,0
49.5664,255,127,0
48.9598,255,127,0
48.3606,255,127,0
47.7688,255,127,0
47.1842,255,127,0
46.6068,255,127,0
46.0364,255,127,0
45.473,255,133,0
44.9166,255,138,0
44.3669,255,138,0
43.8239,255,138,0
43.2876,255,138,0
42.7579,255,138,0
42.2346,255,138,0
41.7177,255,138,0
41.2072,255,138,0
40.7029,255,138,0
40.2048,255,138,0
39.7128,255,138,0
39.2268,255,138,0
38.7468,255,138,0
38.2726,255,138,0
37.8042,255,138,0
37.3416,255,143,0
36.8846,255,148,0
36.4332,255,148,0
35.9873,255,148,0
35.5469,255,148,0
35.1119,255,148,0
34.6822,255,148,0
34.2578,255,148,0
33.8386,255,148,0
33.4244,255,148,0
33.0154,255,148,0
32.6114,255,148,0
32.2123,255,148,0
31.8181,255,148,0
31.4287,255,148,0
31.0441,255,148,0
30.6642,255,154,0
30.2889,255,159,0
29.9182,255,159,0
29.5521,255,159,0
29.1904,255,159,0
28.8332,255,159,0
28.4804,255,159,0
28.1318,255,159,0
27.7876,255,159,0
27.4475,255,159,0
27.1116,255,159,0
26.7798,255,159,0
26.4521,255,159,0
26.1284,255,159,0
25.8086,255,159,0
25.4928,255,159,0
25.1808,255,165,0
24.8726,255,170,0
24.5683,255,170,0
24.2676,255,170,0
23.9706,255,170,0
23.6773,255,170,0
23.3875,255,170,0
23.1013,255,170,0
22.8186,255,170,0
22.5393,255,170,0
22.2635,255,170,0
21.9911,255,170,0
21.7219,255,170,0
21.4561,255,170,0
21.1935,255,175,0
20.9342,255,180,0
20.678,255,180,0
20.4249,255,180,0
20.175,255,180,0
19.9281,255,180,0
19.6842,255,180,0
19.4433,255,180,0
19.2054,255,180,0
18.9703,255,180,0
18.7382,255,180,0
18.5089,255,180,0
18.2824,255,180,0
18.0586,255,180,0
17.8376,255,180,0
17.6193,255,180,0
17.4037,255,186,0
17.1907,255,191,0
16.9803,255,191,0
16.7725,255,191,0
16.5673,255,191,0
16.3645,255,191,0
16.1643,255,191,0
15.9665,255,191,0
15.7711,255,191,0
15.5781,255,191,0
15.3874,255,191,0
15.1991,255,191,0
15.0131,255,191,0
14.8294,255,191,0
14.6479,255,191,0
14.4686,255,191,0
14.2916,255,196,0
14.1167,255,201,0
13.9439,255,201,0
13.7733,255,201,0
13.6047,255,201,0
13.4382,255,201,0
13.2738,255,201,0
13.1113,255,201,0
12.9509,255,201,0
12.7924,255,201,0
12.6358,255,201,0
12.4812,255,201,0
12.3285,255,201,0
12.1776,255,201,0
12.0286,255,207,0
11.8814,255,212,0
11.736,255,212,0
11.5923,255,212,0
11.4505,255,212,0
11.3103,255,212,0
11.1719,255,212,0
11.0352,255,212,0
10.9002,255,212,0
10.7668,255,212,0
10.635,255,212,0
10.5049,255,212,0
10.3763,255,212,0
10.2493,255,212,0
10.1239,255,212,0
10,255,212,0
9.87762,255,218,0
9.75674,255,223,0
9.63734,255,223,0
9.5194,255,223,0
9.4029,255,223,0
9.28783,255,223,0
9.17417,255,223,0
9.0619,255,223,0
8.951,255,223,0
8.84146,255,223,0
8.73326,255,223,0
8.62639,255,223,0
8.52082,255,223,0
8.41654,255,223,0
8.31354,255,223,0
8.2118,255,223,0
8.11131,255,228,0
8.01204,255,233,0
7.91399,255,233,0
7.81714,255,233,0
7.72148,255,233,0
7.62699,255,233,0
7.53365,255,233,0
7.44145,255,233,0
7.35039,255,233,0
7.26043,255,233,0
7.17158,255,233,0
7.08382,255,233,0
6.99713,255,233,0
6.9115,255,233,0
6.82692,255,233,0
6.74337,255,233,0
6.66085,255,239,0
6.57933,255,244,0
6.49882,255,244,0
6.41928,255,244,0
6.34073,255,244,0
6.26313,255,244,0
6.18648,255,244,0
6.11077,255,244,0
6.03599,255,244,0
5.96212,255,244,0
5.88916,255,244,0
5.81709,255,244,0
5.7459,255,244,0
5.67559,255,244,0
5.60613,255,250,0
5.53752,255,255,0
5.46976,255,255,0
5.40282,255,255,0
5.3367,255,255,0
5.27139,255,255,0
5.20688,255,255,0
5.14316,255,255,0
5.08022,255,255,0
5.01805,255,255,0
4.95664,255,255,0
4.89598,255,255,0
4.83606,255,255,0
4.77688,255,255,0
4.71842,255,255,0
4.66068,255,255,0
4.60364,255,255,8
4.5473,255,255,15
4.49166,255,255,15
4.43669,255,255,15
4.38239,255,255,15
4.32876,255,255,15
4.27579,255,255,15
4.22346,255,255,15
4.17177,255,255,15
4.12072,255,255,15
4.07029,255,255,15
4.02048,255,255,15
3.97128,255,255,15
3.92268,255,255,15
3.87468,255,255,15
3.82726,255,255,15
3.78042,255,255,23
3.73416,255,255,31
3.68846,255,255,31
3.64332,255,255,31
3.59873,255,255,31
3.55469,255,255,31
3.51119,255,255,31
3.46822,255,255,31
3.42578,255,255,31
3.38386,255,255,31
3.34244,255,255,31
3.30154,255,255,31
3.26114,255,255,31
3.22123,255,255,31
3.18181,255,255,31
3.14287,255,255,31
3.10441,255,255,39
3.06642,255,255,47
3.02889,255,255,47
2.99182,255,255,47
2.95521,255,255,47
2.91904,255,255,47
2.88332,255,255,47
2.84804,255,255,47
2.81318,255,255,47
2.77876,255,255,47
2.74475,255,255,47
2.71116,255,255,47
2.67798,255,255,47
2.64521,255,255,47
2.61284,255,255,55
2.58086,255,255,63
2.54928,255,255,63
2.51808,255,255,63
2.48726,255,255,63
2.45683,255,255,63
2.42676,255,255,63
2.39706,255,255,63
2.36773,255,255,63
2.33875,255,255,63
2.31013,255,255,63
2.28186,255,255,63
2.25393,255,255,63
2.22635,255,255,63
2.19911,255,255,63
2.17219,255,255,63
2.14561,255,255,71
2.11935,255,255,79
2.09342,255,255,79
2.0678,255,255,79
2.04249,255,255,79
2.0175,255,255,79
1.99281,255,255,79
1.96842,255,255,79
1.94433,255,255,79
1.92054,255,255,79
1.89703,255,255,79
1.87382,255,255,79
1.85089,255,255,79
1.82824,255,255,79
1.80586,255,255,79
1.78376,255,255,79
1.76193,255,255,87
1.74037,255,255,95
1.71907,255,255,95
1.69803,255,255,95
1.67725,255,255,95
1.65673,255,255,95
1.63645,255,255,95
1.61643,255,255,95
1.59665,255,255,95
1.57711,255,255,95
1.55781,255,255,95
1.53874,255,255,95
1.51991,255,255,95
1.50131,255,255,95
1.48294,255,255,95
1.46479,255,255,95
1.44686,255,255,103
1.42916,255,255,111
1.41167,255,255,111
1.39439,255,255,111
1.37733,255,255,111
1.36047,255,255,111
1.34382,255,255,111
1.32738,255,255,111
1.31113,255,255,111
1.29509,255,255,111
1.27924,255,255,111
1.26358,255,255,111
1.24812,255,255,111
1.23285,255,255,111
1.21776,255,255,119
1.20286,255,255,127
1.18814,255,255,127
1.1736,255,255,127
1.15923,255,255,127
1.14505,255,255,127
1.13103,255,255,127
1.11719,255,255,127
1.10352,255,255,127
1.09002,255,255,127
1.07668,255,255,127
1.0635,255,255,127
1.05049,255,255,127
1.03763,255,255,127
1.02493,255,255,127
