# In situ Chl-a and CDOM shared by Raphe Kudela (UCSC), expressed in
# the units of Dutkiewicz et al. (2018) Fig. 10a.
# source: field  = CDOM_TChla.csv (789 Pacific/Arctic samples, 2010-2017;
#                  distinct near-surface samples, Chl-a by HPLC --
#                  R. Kudela via Q&A in claude_prompts/dutkiewicz_priors.md)
#         GLORIA = GLORIA_meta_and_lab.csv (Lehmann et al. 2023), rows with
#                  both Chla and aCDOM440
# Chl in mg m-3 (as reported);
# CDOM (mmol C m-3) = aCDOM440 * exp(-0.021*10) / 0.18
#   (shift to 450 nm with the Darwin spectral slope, then invert ccdom(450))
# QC: rows with non-positive Chl or aCDOM440 dropped.
# Written by robust/dutkiewicz2018_fig10.py.
source,Chl,aCDOM440,CDOM
field,0.302,0.11,0.495357
field,0.302,0.11,0.495357
field,0.302,0.11,0.495357
field,0.302,0.11,0.495357
field,0.481,0.121,0.544893
field,2.045,1.432,6.44865
field,2.045,1.432,6.44865
field,2.558,0.645,2.90459
field,2.558,0.645,2.90459
field,2.558,0.645,2.90459
field,2.558,0.645,2.90459
field,2.558,0.645,2.90459
field,2.558,0.645,2.90459
field,2.558,0.645,2.90459
field,0.42,0.241,1.08528
field,0.42,0.241,1.08528
field,0.42,0.241,1.08528
field,0.42,0.241,1.08528
field,0.42,0.241,1.08528
field,0.42,0.241,1.08528
field,0.832,0.207,0.932172
field,0.671,0.166,0.747539
field,0.671,0.166,0.747539
field,0.581,0.152,0.684493
field,0.593,0.161,0.725023
field,0.937,0.468,2.10752
field,0.937,0.468,2.10752
field,0.937,0.468,2.10752
field,0.937,0.468,2.10752
field,8.027,0.607,2.73347
field,8.027,0.607,2.73347
field,8.027,0.607,2.73347
field,16.446,1.801,8.11035
field,16.446,1.801,8.11035
field,16.446,1.801,8.11035
field,16.446,1.801,8.11035
field,3.95,0.03,0.135097
field,3.95,0.117,0.52688
field,3.95,0.117,0.52688
field,3.95,0.117,0.52688
field,17.34,0.149,0.670984
field,17.34,0.149,0.670984
field,17.34,0.149,0.670984
field,17.34,0.158,0.711513
field,17.34,0.158,0.711513
field,17.34,0.158,0.711513
field,8.45,0.282,1.26992
field,8.45,0.282,1.26992
field,8.45,0.282,1.26992
